,abr_cd,abr_cdi,abr_nm,abr_c,abr_z,cd,ds,url
38,27332,2701704,CAPELA,N,['0006'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27332-c0001-e000544-v.json
39,27359,2701803,CARNEIROS,N,['0019'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27359-c0001-e000544-v.json
40,27375,2701902,CHÃ PRETA,N,['0028'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27375-c0001-e000544-v.json
41,27391,2702009,COITÉ DO NÓIA,N,['0045'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27391-c0001-e000544-v.json
42,27413,2702108,COLÔNIA LEOPOLDINA,N,['0016'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27413-c0001-e000544-v.json
43,27430,2702207,COQUEIRO SECO,N,['0008'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27430-c0001-e000544-v.json
44,27456,2702306,CORURIPE,N,['0007'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27456-c0001-e000544-v.json
45,28894,2702355,CRAÍBAS,N,['0031'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28894-c0001-e000544-v.json
46,27472,2702405,DELMIRO GOUVEIA,N,['0040'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27472-c0001-e000544-v.json
47,27499,2702504,DOIS RIACHOS,N,['0046'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27499-c0001-e000544-v.json
48,27049,2702553,ESTRELA DE ALAGOAS,N,['0046'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27049-c0001-e000544-v.json
49,27510,2702603,FEIRA GRANDE,N,['0049'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27510-c0001-e000544-v.json
50,27537,2702702,FELIZ DESERTO,N,['0007'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27537-c0001-e000544-v.json
51,27553,2702801,FLEXEIRAS,N,['0053'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27553-c0001-e000544-v.json
52,27570,2702900,GIRAU DO PONCIANO,N,['0044'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27570-c0001-e000544-v.json
53,27596,2703007,IBATEGUARA,N,['0016'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27596-c0001-e000544-v.json
54,27618,2703106,IGACI,N,['0045'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27618-c0001-e000544-v.json
55,27634,2703205,IGREJA NOVA,N,['0037'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27634-c0001-e000544-v.json
56,27650,2703304,INHAPI,N,['0039'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27650-c0001-e000544-v.json
57,27677,2703403,JACARÉ DOS HOMENS,N,['0029'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27677-c0001-e000544-v.json
58,27693,2703502,JACUÍPE,N,['0014'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27693-c0001-e000544-v.json
59,27715,2703601,JAPARATINGA,N,['0014'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27715-c0001-e000544-v.json
60,27731,2703700,JARAMATAIA,N,['0044'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27731-c0001-e000544-v.json
61,27065,2703759,JEQUIÁ DA PRAIA,N,['0018'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27065-c0001-e000544-v.json
62,27758,2703809,JOAQUIM GOMES,N,['0053'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27758-c0001-e000544-v.json
63,27774,2703908,JUNDIÁ,N,['0014'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27774-c0001-e000544-v.json
64,27790,2704005,JUNQUEIRO,N,['0034'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27790-c0001-e000544-v.json
65,27812,2704104,LAGOA DA CANOA,N,['0044'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27812-c0001-e000544-v.json
66,27839,2704203,LIMOEIRO DE ANADIA,N,['0047'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27839-c0001-e000544-v.json
67,27855,2704302,MACEIÓ,S,"['0002', '0003', '0033', '0001', '0054']",al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27855-c0001-e000544-v.json
68,27871,2704401,MAJOR ISIDORO,N,['0031'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27871-c0001-e000544-v.json
69,27979,2704906,MAR VERMELHO,N,['0005'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27979-c0001-e000544-v.json
70,27898,2704500,MARAGOGI,N,['0014'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27898-c0001-e000544-v.json
